,published,summary,pred_summary
0,2023-09-07 10:26:22+08:00,The Hang Seng Index weakened for a third day as another month of weak China trade data pressured the yuan and eroded the appeal of local assets. SMIC sank amid concerns about wider US tech curbs.,negative
1,2023-09-19 19:37:59+08:00,"Hong Kong-listed companies have spent a combined HK$178 billion (US$22.7 billion) on stock buy-backs between January 2022 and mid-September this year, while the cheap market kept getting cheaper.",negative
2,2023-09-22 18:15:24+08:00,"Hong Kong’s public fundraising environment is at its toughest in over a decade, as the global banking turbulence, high interest rates and slow recovery pace of mainland China’s economy bruised investor sentiment, according to Deloitte China.",negative
3,2023-09-22 21:51:23+08:00,"The expansion of deepwater terminals at Yangshan islands is getting into full swing, as part of Shanghai’s latest effort to shore up confidence in the city’s foreign trade.",positive
4,2023-10-02 22:12:09+08:00,"China Evergrande Group has applied for trading of its shares to resume on Tuesday, according to a filing to the Hong Kong stock exchange.",negative
5,2023-10-03 10:30:21+08:00,"Just transition, or practices for mitigating and adapting to climate change without sacrificing key stakeholders’ interests, is a topic that Hong Kong-listed companies have to confront, expert says.",negative
6,2023-10-10 19:34:26+08:00,"Hong Kong’s affluent become millionaires by the time they turn 33 on average, according to an annual survey by HSBC, which also found that respondents were confident about reaching the next milestone of HK$10 million (US$1,277,164) by age 62.",negative
7,2023-10-26 20:01:50+08:00,"J&amp;T Global Express, an Asian courier service group based in Shanghai, could raise as much as HK$4.1 billion (US$520 million) from its initial public offering after orders from investors exceeded the shares offered for sale.",negative
8,2023-10-30 12:28:23+08:00,HSBC missed third-quarter profit estimates by a wide margin because of higher bad-debt provisions related to mainland China’s real estate sector and charges associated with its hedging strategy.,negative
9,2023-11-01 16:29:52+08:00,"Evergrande has proposed a new debt revamp plan for offshore bondholders, offering to swap their debts into about a 30 per cent equity stake in each of its two Hong Kong-listed subsidiaries, two sources say.",negative
10,2023-11-02 13:01:49+08:00,"Digital payment systems developed by Hong Kong and Thailand will be ready for use in the two jurisdictions from early next month, eliminating the hassle for travellers wanting to exchange currencies.",negative
11,2023-11-19 12:30:10+08:00,"Ares Management, one of Asia’s largest alternative investment managers, is eyeing China’s private capital market as it aims to tap opportunities among the millions of small to medium-sized enterprise (SMEs) operating in the world’s second-largest economy.",negative
12,2023-11-27 22:39:29+08:00,"Progress in central bank digital currencies in China is ‘already on track’ and the ‘final stage is not very far away’, said former head of the People’s Bank of China at a conference in Hong Kong.",negative
13,2023-12-08 17:30:14+08:00,"A unit of Saudi Arabia’s sovereign wealth fund has injected fresh capital into eWTP Arabia Capital, a Riyadh-based venture firm focused on easing Chinese business expansion into the Middle East.",negative
14,2023-12-08 18:30:21+08:00,"‘Hyperlocality’ and open dialogue between regulators, businesses and investors, can help retain the vibrancy of Asia’s start-up ecosystem, industry leaders said at the FII Priority conference in Hong Kong.",negative
15,2023-12-08 21:05:06+08:00,"TT Chat operator Quwan Holding will merge with special-purpose acquisition company Vision Deal HK Acquisition, in the second such deal in the city.",negative
16,2023-12-15 13:03:05+08:00,"The billionaire has offered HK$26.1 billion, or HK$23.50 per share, to buy 92.3 per cent of Vinda he does not already control. Major shareholders Essity and Li Chaowang have agreed to accept the offer.",negative
17,2023-12-21 17:43:34+08:00,The Hong Kong Monetary Authority (HKMA) is set to launch a pilot programme that will enable customers to use a consent-based and secure way to share their account data with other banks.,negative
18,2023-12-22 13:01:24+08:00,Distressed Chinese developer Powerlong Real Estate Holdings unveiled preliminary terms of a restructuring agreement with certain creditors in a deal expected to give the Shanghai-based company a brief respite from the ongoing debt crisis.,negative
19,2023-12-30 11:30:13+08:00,"For deal flows to be revived, buyers need to be more confident about China’s growth, and they need to see some strong and high-profile deals go through first, industry insiders say.",negative
20,2024-01-05 06:00:24+08:00,"The Shanghai-based maker of Neta-branded cars aims to deliver 100,000 units in 60 overseas markets this year, mainly in Southeast Asia.",negative
21,2024-01-10 16:20:42+08:00,Judge Jonathan Harris will deliver his verdict on Thursday following a two-day trial over a creditor’s objection to the offshore plan offered by the defaulted developer.,negative
22,2024-01-16 20:15:16+08:00,The companies are among 320 organisations worldwide that are supporting a global initiative to reverse nature degradation caused by human activity and climate change.,negative
23,2024-01-16 21:13:22+08:00,"Founder Sui Guangyi’s plans to list its Shenzhen affiliate on an international digital exchange have hit the shares of the Hong Kong-listed investment firm, which have lost nearly 50 per cent since January 10.",negative
24,2024-01-17 09:30:23+08:00,"Investors cannot ignore China, but they should be selective about their allocations this year, according to Alex Wolf, managing director and head of investment strategy for Asia at JPMorgan Private Bank.",negative
25,2024-01-20 10:00:17+08:00,"State-owned companies will dominate as the age of ‘fast leverage and fast growth’ is over, and developers face brutal years ahead, analysts said.",negative
26,2024-01-30 14:00:35+08:00,"Burned by years of underperformance in Chinese domestic stocks, local investor appetite for overseas equities is running so high that it’s fuelling huge price distortions in funds tracking these assets.",negative
27,2024-01-30 18:27:34+08:00,The government is actively engaging with mainland Chinese regulators to speed up the approval process for companies listing in the city. Measures will also be rolled out to attract family offices and wealthy individuals.,negative
28,2024-02-02 06:00:19+08:00,"Mainland Chinese EV builders’ 2024 has got off to a bumpy start, after car deliveries dropped sharply amid mounting concerns about a slowing economy and job losses.",negative
29,2024-02-06 15:34:18+08:00,"The change will put the city’s protection level in line with the UK and Germany and higher than mainland China and Singapore, but still lower than the United States.",none
30,2024-02-06 17:08:01+08:00,"The family of Henry Cheng, Hong Kong’s third-richest person, wants to replace CEO Peter Lau with Colin Currie and also appoint two of Henry’s children, Sonia and Christopher, as non-executive directors.",negative
31,2024-02-11 15:00:08+08:00,"Private markets firm HarbourVest sees investment opportunities in Asia driven by demand generated by China’s declining demographics and uptick in retail spending, as well as trends like the reshuffling of global supply chains.",negative
32,2024-02-13 18:37:13+08:00,"The Japanese tycoon is currently worth US$15.1 billion, compared with US$11.3 billion at the end of last year. Son is benefiting from Arm’s rally because he owns roughly a third of SoftBank, which holds 90 per cent of the UK chip designer.",negative
33,2024-02-14 10:02:06+08:00,"The Shenzhen-based developer slumped 37 per cent to close at the lowest level since its 2009 listing as the market resumed trading after the Lunar New Year break, extending a slump in the past year to 76 per cent.",negative
34,2024-02-14 14:12:10+08:00,"‘Hong Kong stocks posted positive returns in the past four Years of the Dragon,’ finance chief Paul Chan said on the first trading day of Lunar New Year, citing China’s improving economy and potential rate cuts as possible catalysts.",positive
35,2024-02-15 16:38:36+08:00,The SFC warned it may delist two companies formerly headed by Alvin Chau because of concerns about a US$116 million sale of assets in Russia.,negative
36,2024-02-19 10:59:12+08:00,"A three-day winning run in the Year of the Dragon has come to an end as tech stocks paced losses. China’s central bank maintained its policy rate, while the Hang Seng Index membership stayed at 82 in the latest review.",negative
37,2024-02-22 09:36:21+08:00,"A consortium led by state-owned Sinopharm has revived a take-private bid for China-TCM, the Hong-Kong-listed drug maker said on Wednesday, valuing it at US$2.96 billion.",negative
